 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  3.143309E-01  6.402768E+18  4.253949E+18
  2.125547E+01  2.854809E+00  2.144632E+01
  2.867729E+00  6.278112E-01  1.159575E+03
  3.243309E-01  1.482633E+19  1.007823E+19
  1.996845E+01  2.886195E+00  2.017596E+01
  2.685427E+00  1.204900E+00  5.219749E+03
  3.343309E-01  2.276778E+19  1.596475E+19
  1.879990E+01  2.908202E+00  1.902351E+01
  2.523991E+00  1.754375E+00  1.177013E+04
  3.443309E-01  3.011988E+19  2.176707E+19
  1.774091E+01  2.920410E+00  1.797968E+01
  2.387815E+00  2.247115E+00  2.004766E+04
  3.543309E-01  3.689853E+19  2.734145E+19
  1.677988E+01  2.922432E+00  1.703247E+01
  2.267519E+00  2.671717E+00  2.922792E+04
  3.643309E-01  4.310442E+19  3.256342E+19
  1.590698E+01  2.914272E+00  1.617173E+01
  2.161705E+00  3.033268E+00  3.863423E+04
  3.743309E-01  4.871122E+19  3.733995E+19
  1.511359E+01  2.896038E+00  1.538855E+01
  2.069556E+00  3.346800E+00  4.782672E+04
  3.843309E-01  5.369384E+19  4.161565E+19
  1.439322E+01  2.867931E+00  1.467617E+01
  1.991351E+00  3.630334E+00  5.659551E+04
  3.943309E-01  5.804897E+19  4.537256E+19
  1.374046E+01  2.830345E+00  1.402893E+01
  1.927374E+00  3.900293E+00  6.490109E+04
  4.043309E-01  6.180090E+19  4.862496E+19
  1.314486E+01  2.783891E+00  1.343642E+01
  1.873215E+00  4.169519E+00  7.280543E+04
  4.143309E-01  6.499742E+19  5.141082E+19
  1.259993E+01  2.729305E+00  1.289215E+01
  1.828159E+00  4.447020E+00  8.041726E+04
  4.243309E-01  6.770147E+19  5.378254E+19
  1.209984E+01  2.667396E+00  1.239037E+01
  1.791437E+00  4.738504E+00  8.785698E+04
  4.343309E-01  6.998266E+19  5.579871E+19
  1.164166E+01  2.599169E+00  1.192828E+01
  1.764347E+00  5.047135E+00  9.523784E+04
  4.443309E-01  7.191049E+19  5.751800E+19
  1.121768E+01  2.525736E+00  1.149851E+01
  1.743920E+00  5.374275E+00  1.026584E+05
  4.543309E-01  7.354947E+19  5.899490E+19
  1.082309E+01  2.448119E+00  1.109652E+01
  1.728995E+00  5.720034E+00  1.101998E+05
  4.643309E-01  7.495653E+19  6.027736E+19
  1.045426E+01  2.367287E+00  1.071894E+01
  1.718944E+00  6.083681E+00  1.179262E+05
  4.743309E-01  7.617999E+19  6.140600E+19
  1.010853E+01  2.284263E+00  1.036341E+01
  1.713902E+00  6.463941E+00  1.258868E+05
  4.843309E-01  7.725981E+19  6.241429E+19
  9.782372E+00  2.200093E+00  1.002672E+01
  1.712896E+00  6.859242E+00  1.341184E+05
  4.943309E-01  7.822826E+19  6.332914E+19
  9.472969E+00  2.115644E+00  9.706343E+00
  1.714589E+00  7.267864E+00  1.426480E+05
  5.043309E-01  7.911087E+19  6.417173E+19
  9.178556E+00  2.031606E+00  9.400708E+00
  1.718517E+00  7.688021E+00  1.514942E+05
  5.143309E-01  7.992758E+19  6.495848E+19
  8.897506E+00  1.948647E+00  9.108393E+00
  1.724445E+00  8.117928E+00  1.606687E+05
  5.243309E-01  8.069380E+19  6.570200E+19
  8.628157E+00  1.867402E+00  8.827926E+00
  1.731957E+00  8.555886E+00  1.701787E+05
  5.343309E-01  8.142137E+19  6.641187E+19
  8.369642E+00  1.788332E+00  8.558565E+00
  1.740091E+00  9.000320E+00  1.800282E+05
  5.443309E-01  8.211928E+19  6.709530E+19
  8.121225E+00  1.711725E+00  8.299657E+00
  1.748562E+00  9.449765E+00  1.902179E+05
  5.543309E-01  8.279430E+19  6.775763E+19
  7.881825E+00  1.637852E+00  8.050200E+00
  1.757094E+00  9.902878E+00  2.007468E+05
  5.643309E-01  8.345156E+19  6.840287E+19
  7.650839E+00  1.566931E+00  7.809648E+00
  1.765101E+00  1.035847E+01  2.116127E+05
  5.743309E-01  8.409492E+19  6.903397E+19
  7.428211E+00  1.499050E+00  7.577960E+00
  1.772346E+00  1.081550E+01  2.228128E+05
  5.843309E-01  8.472726E+19  6.965310E+19
  7.213585E+00  1.434211E+00  7.354779E+00
  1.778725E+00  1.127302E+01  2.343435E+05
  5.943309E-01  8.535074E+19  7.026181E+19
  7.005912E+00  1.372412E+00  7.139070E+00
  1.783832E+00  1.173023E+01  2.462008E+05
  6.043309E-01  8.596696E+19  7.086128E+19
  6.805458E+00  1.313610E+00  6.931077E+00
  1.787468E+00  1.218640E+01  2.583806E+05
  6.143309E-01  8.657713E+19  7.145231E+19
  6.612116E+00  1.257689E+00  6.730666E+00
