 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  2.904676E-01  2.734058E+17  1.834505E+17
  8.952385E-01  4.956401E-01  1.023284E+00
  3.467021E+00  9.210057E-01  7.318800E+01
  3.104676E-01  7.057202E+17  5.049507E+17
  8.387271E-01  4.767525E-01  9.647570E-01
  2.745727E+00  2.084144E+00  4.350730E+02
  3.304676E-01  1.057193E+18  7.947291E+17
  7.914555E-01  4.615955E-01  9.162272E-01
  2.345634E+00  2.936642E+00  9.186246E+02
  3.504676E-01  1.338836E+18  1.034952E+18
  7.524731E-01  4.461798E-01  8.748098E-01
  2.081168E+00  3.557440E+00  1.387008E+03
  3.704676E-01  1.553620E+18  1.220410E+18
  7.209007E-01  4.286511E-01  8.387130E-01
  1.905582E+00  4.096916E+00  1.805591E+03
  3.904676E-01  1.710119E+18  1.356971E+18
  6.955899E-01  4.084176E-01  8.066289E-01
  1.792139E+00  4.654433E+00  2.189611E+03
  4.104676E-01  1.821904E+18  1.455926E+18
  6.748498E-01  3.856774E-01  7.772833E-01
  1.718967E+00  5.273440E+00  2.563456E+03
  4.304676E-01  1.902675E+18  1.528839E+18
  6.575515E-01  3.611006E-01  7.501784E-01
  1.677744E+00  5.964499E+00  2.946515E+03
  4.504676E-01  1.963436E+18  1.584985E+18
  6.422975E-01  3.355642E-01  7.246720E-01
  1.657516E+00  6.722567E+00  3.351496E+03
  4.704676E-01  2.011892E+18  1.630818E+18
  6.282015E-01  3.099240E-01  7.004927E-01
  1.651783E+00  7.536079E+00  3.785785E+03
  4.904676E-01  2.053002E+18  1.670448E+18
  6.145948E-01  2.849441E-01  6.774363E-01
  1.655482E+00  8.391606E+00  4.253170E+03
  5.104676E-01  2.089786E+18  1.706347E+18
  6.011067E-01  2.611888E-01  6.553998E-01
  1.663190E+00  9.276283E+00  4.755252E+03
  5.304676E-01  2.124015E+18  1.739931E+18
  5.874893E-01  2.390286E-01  6.342542E-01
  1.671466E+00  1.017871E+01  5.292288E+03
  5.504676E-01  2.156708E+18  1.771992E+18
  5.737845E-01  2.186504E-01  6.140330E-01
  1.677933E+00  1.108961E+01  5.863946E+03
  5.704676E-01  2.188437E+18  1.802958E+18
  5.599115E-01  2.000852E-01  5.945881E-01
  1.680073E+00  1.200149E+01  6.469498E+03
  5.904676E-01  2.219522E+18  1.833054E+18
  5.460627E-01  1.832623E-01  5.759944E-01
  1.677267E+00  1.290860E+01  7.108115E+03
  6.104676E-01  2.250133E+18  1.862389E+18
  5.322124E-01  1.680328E-01  5.581085E-01
  1.667887E+00  1.380639E+01  7.778734E+03
  6.304676E-01  2.280351E+18  1.891006E+18
  5.185309E-01  1.542146E-01  5.409773E-01
  1.653097E+00  1.469118E+01  8.480056E+03
  6.504676E-01  2.310196E+18  1.918903E+18
  5.050222E-01  1.416068E-01  5.244997E-01
  1.632808E+00  1.555974E+01  9.210297E+03
  6.704676E-01  2.339648E+18  1.946052E+18
  4.917733E-01  1.300144E-01  5.086696E-01
  1.608263E+00  1.640903E+01  9.967023E+03
  6.904676E-01  2.368647E+18  1.972396E+18
  4.788166E-01  1.192532E-01  4.934437E-01
  1.581025E+00  1.723592E+01  1.074690E+04
  7.104676E-01  2.397100E+18  1.997859E+18
  4.661558E-01  1.091636E-01  4.787671E-01
  1.551414E+00  1.803706E+01  1.154545E+04
  7.304676E-01  2.424884E+18  2.022347E+18
  4.538513E-01  9.960448E-02  4.646526E-01
  1.521048E+00  1.880885E+01  1.235697E+04
  7.504676E-01  2.451842E+18  2.045746E+18
  4.418525E-01  9.046438E-02  4.510182E-01
  1.490943E+00  1.954723E+01  1.317420E+04
  7.704676E-01  2.477795E+18  2.067932E+18
  4.302220E-01  8.165476E-02  4.379024E-01
  1.462908E+00  2.024800E+01  1.398855E+04
  7.904676E-01  2.502533E+18  2.088768E+18
  4.189436E-01  7.309939E-02  4.252731E-01
  1.435321E+00  2.090657E+01  1.478986E+04
  8.104676E-01  2.525826E+18  2.108108E+18
  4.080264E-01  6.474775E-02  4.131317E-01
  1.408144E+00  2.151819E+01  1.556661E+04
  8.304676E-01  2.547431E+18  2.125804E+18
  3.975044E-01  5.655192E-02  4.015070E-01
  1.381098E+00  2.207804E+01  1.630616E+04
  8.504676E-01  2.567083E+18  2.141699E+18
  3.873704E-01  4.839250E-02  3.903814E-01
  1.355134E+00  2.258104E+01  1.699472E+04
  8.704676E-01  2.584448E+18  2.155585E+18
  3.776936E-01  4.013712E-02  3.798202E-01
  1.331470E+00  2.302058E+01  1.761567E+04
  8.904676E-01  2.599160E+18  2.167232E+18
  3.684813E-01  3.170847E-02  3.698431E-01
  1.312095E+00  2.338931E+01  1.815080E+04
  9.104676E-01  2.610821E+18  2.176389E+18
  3.597711E-01  2.303287E-02  3.605076E-01
  1.297282E+00  2.367923E+01  1.858087E+04
  9.304676E-01  2.619013E+18  2.182781E+18
  3.515790E-01  1.403752E-02  3.518591E-01
  1.289452E+00  2.388164E+01  1.888607E+04
  9.504676E-01  2.623303E+18  2.186115E+18
  3.439453E-01  4.646428E-03  3.439767E-01
  1.285381E+00  2.398723E+01  1.904692E+04
  9.704676E-01  2.623254E+18  2.186078E+18
  3.368597E-01  5.209624E-03  3.369000E-01
  1.285428E+00  2.398603E+01  1.904509E+04
  9.904676E-01  2.618452E+18  2.182344E+18
  3.303108E-01  1.557691E-02  3.306779E-01
  1.289986E+00  2.386780E+01  1.886508E+04
  1.010468E+00  2.608533E+18  2.174597E+18
  3.242779E-01  2.647619E-02  3.253570E-01
  1.299482E+00  2.362249E+01  1.849605E+04
  1.030468E+00  2.593221E+18  2.162543E+18
  3.186810E-01  3.788715E-02  3.209253E-01
  1.320784E+00  2.324085E+01  1.793375E+04
  1.050468E+00  2.572372E+18  2.145945E+18
  3.134342E-01  4.973798E-02  3.173561E-01
  1.348176E+00  2.271542E+01  1.718263E+04
  1.070468E+00  2.546015E+18  2.124652E+18
  3.084209E-01  6.191817E-02  3.145748E-01
  1.382909E+00  2.204156E+01  1.625713E+04
  1.090468E+00  2.514363E+18  2.098624E+18
  3.034929E-01  7.433738E-02  3.124644E-01
  1.421677E+00  2.121822E+01  1.518166E+04
  1.110468E+00  2.477775E+18  2.067915E+18
  2.984979E-01  8.685060E-02  3.108763E-01
  1.462928E+00  2.024746E+01  1.398791E+04
  1.130468E+00  2.436816E+18  2.032748E+18
  2.933088E-01  9.923907E-02  3.096425E-01
  1.507883E+00  1.913696E+01  1.271507E+04
  1.150468E+00  2.392201E+18  1.993503E+18
  2.878028E-01  1.113307E-01  3.085855E-01
  1.556526E+00  1.789988E+01  1.140561E+04
  1.170468E+00  2.344711E+18  1.950679E+18
  2.818582E-01  1.230253E-01  3.075374E-01
  1.603801E+00  1.655409E+01  1.010069E+04
  1.190468E+00  2.295102E+18  1.904841E+18
  2.753042E-01  1.342962E-01  3.063134E-01
  1.643540E+00  1.512132E+01  8.836346E+03
  1.210468E+00  2.243996E+18  1.856534E+18
  2.680362E-01  1.451712E-01  3.048247E-01
  1.670282E+00  1.362636E+01  7.641040E+03
  1.230468E+00  2.191720E+18  1.806150E+18
  2.598634E-01  1.556814E-01  3.029285E-01
  1.680061E+00  1.209684E+01  6.534877E+03
  1.250468E+00  2.138003E+18  1.753660E+18
  2.507102E-01  1.657879E-01  3.005682E-01
  1.674326E+00  1.056380E+01  5.530121E+03
  1.270468E+00  2.081275E+18  1.698015E+18
  2.405383E-01  1.752933E-01  2.976347E-01
  1.661205E+00  9.062757E+00  4.632026E+03
  1.290468E+00  2.017044E+18  1.635748E+18
  2.295773E-01  1.837932E-01  2.940845E-01
  1.651734E+00  7.634937E+00  3.839076E+03
  1.310468E+00  1.934232E+18  1.557831E+18
  2.183245E-01  1.906729E-01  2.898650E-01
  1.665830E+00  6.326161E+00  3.140559E+03
  1.330468E+00  1.808033E+18  1.443548E+18
  2.075840E-01  1.952421E-01  2.849747E-01
  1.727188E+00  5.179978E+00  2.509489E+03
  1.350468E+00  1.589948E+18  1.251973E+18
  1.983866E-01  1.970194E-01  2.795959E-01
  1.878693E+00  4.207328E+00  1.886089E+03
  1.370468E+00  1.208095E+18  9.229418E+17
  1.915466E-01  1.960017E-01  2.740561E-01
  2.198948E+00  3.269255E+00  1.161223E+03
  1.390468E+00  5.979799E+17  4.204454E+17
  1.871775E-01  1.917232E-01  2.679425E-01
  2.907413E+00  1.799185E+00  3.172177E+02
