 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  3.593093E-01  1.032872E+18  6.823775E+17
  5.844739E+00  2.831310E+00  6.494405E+00
  2.705113E+00  2.990131E-01  8.711631E+01
  3.893093E-01  1.495591E+19  1.043820E+19
  5.402293E+00  2.783881E+00  6.077398E+00
  2.271432E+00  1.676792E+00  7.381891E+03
  4.193093E-01  2.645347E+19  1.969199E+19
  5.039989E+00  2.731681E+00  5.732676E+00
  1.963118E+00  2.753950E+00  2.159126E+04
  4.493093E-01  3.560006E+19  2.746443E+19
  4.745342E+00  2.664420E+00  5.442187E+00
  1.744009E+00  3.504149E+00  3.640310E+04
  4.793093E-01  4.241470E+19  3.334739E+19
  4.506935E+00  2.578925E+00  5.192622E+00
  1.584311E+00  4.135978E+00  4.965711E+04
  5.093093E-01  4.717587E+19  3.751018E+19
  4.314236E+00  2.475003E+00  4.973759E+00
  1.468013E+00  4.807471E+00  6.188888E+04
  5.393093E-01  5.042504E+19  4.040481E+19
  4.157656E+00  2.354121E+00  4.777864E+00
  1.383744E+00  5.586909E+00  7.417672E+04
  5.693093E-01  5.270674E+19  4.249184E+19
  4.028608E+00  2.218788E+00  4.599207E+00
  1.324568E+00  6.491260E+00  8.739943E+04
  5.993093E-01  5.443191E+19  4.411725E+19
  3.919524E+00  2.072165E+00  4.433569E+00
  1.284785E+00  7.513659E+00  1.021585E+05
  6.293093E-01  5.586395E+19  4.550003E+19
  3.823985E+00  1.917762E+00  4.277928E+00
  1.260525E+00  8.636025E+00  1.188347E+05
  6.593093E-01  5.715362E+19  4.676239E+19
  3.736776E+00  1.759192E+00  4.130163E+00
  1.248301E+00  9.834709E+00  1.376382E+05
  6.893093E-01  5.837859E+19  4.796406E+19
  3.653892E+00  1.599943E+00  3.988827E+00
  1.245796E+00  1.108359E+01  1.586380E+05
  7.193093E-01  5.957333E+19  4.912840E+19
  3.572494E+00  1.443198E+00  3.852990E+00
  1.250912E+00  1.235623E+01  1.817758E+05
  7.493093E-01  6.074839E+19  5.025934E+19
  3.490723E+00  1.291701E+00  3.722048E+00
  1.262428E+00  1.362752E+01  2.068748E+05
  7.793093E-01  6.190190E+19  5.135164E+19
  3.407667E+00  1.147603E+00  3.595717E+00
  1.278486E+00  1.487494E+01  2.336502E+05
  8.093093E-01  6.302614E+19  5.239662E+19
  3.323085E+00  1.012416E+00  3.473886E+00
  1.297697E+00  1.607925E+01  2.617230E+05
  8.393093E-01  6.411116E+19  5.338528E+19
  3.237208E+00  8.870532E-01  3.356543E+00
  1.319669E+00  1.722485E+01  2.906391E+05
  8.693093E-01  6.514674E+19  5.430980E+19
  3.150570E+00  7.718695E-01  3.243744E+00
  1.343695E+00  1.829966E+01  3.198933E+05
  8.993093E-01  6.612332E+19  5.516406E+19
  3.063840E+00  6.667497E-01  3.135549E+00
  1.367065E+00  1.929486E+01  3.489529E+05
  9.293093E-01  6.703238E+19  5.594364E+19
  2.977732E+00  5.711981E-01  3.032021E+00
  1.391007E+00  2.020430E+01  3.772792E+05
  9.593093E-01  6.786645E+19  5.664556E+19
  2.892847E+00  4.844861E-01  2.933136E+00
  1.413304E+00  2.102388E+01  4.043431E+05
  9.893093E-01  6.861914E+19  5.726799E+19
  2.809887E+00  4.056977E-01  2.839024E+00
  1.432793E+00  2.175109E+01  4.296415E+05
  1.019309E+00  6.928474E+19  5.780971E+19
  2.729455E+00  3.334903E-01  2.749752E+00
  1.445792E+00  2.238426E+01  4.526979E+05
  1.049309E+00  6.985682E+19  5.826882E+19
  2.652049E+00  2.660643E-01  2.665362E+00
  1.455802E+00  2.292105E+01  4.730247E+05
  1.079309E+00  7.032725E+19  5.864187E+19
  2.578017E+00  2.017158E-01  2.585896E+00
  1.458332E+00  2.335730E+01  4.900892E+05
  1.109309E+00  7.068661E+19  5.892412E+19
  2.507568E+00  1.389698E-01  2.511416E+00
  1.457080E+00  2.368742E+01  5.033360E+05
  1.139309E+00  7.092393E+19  5.910924E+19
  2.440840E+00  7.637593E-02  2.442035E+00
  1.450764E+00  2.390395E+01  5.121835E+05
  1.169309E+00  7.102675E+19  5.918912E+19
  2.377924E+00  1.266107E-02  2.377958E+00
  1.448047E+00  2.399740E+01  5.160413E+05
  1.199309E+00  7.098193E+19  5.915432E+19
  2.318567E+00  5.321460E-02  2.319177E+00
  1.449230E+00  2.395669E+01  5.143578E+05
  1.229309E+00  7.077652E+19  5.899438E+19
  2.262544E+00  1.221099E-01  2.265836E+00
  1.454679E+00  2.376960E+01  5.066787E+05
  1.259309E+00  7.039886E+19  5.869830E+19
  2.209430E+00  1.947680E-01  2.217998E+00
  1.460850E+00  2.342329E+01  4.927142E+05
  1.289309E+00  6.983953E+19  5.825503E+19
  2.158380E+00  2.717948E-01  2.175425E+00
  1.455432E+00  2.290493E+01  4.724035E+05
  1.319309E+00  6.909279E+19  5.765432E+19
  2.108462E+00  3.534978E-01  2.137890E+00
  1.441064E+00  2.220262E+01  4.459832E+05
  1.349309E+00  6.815829E+19  5.688813E+19
  2.058237E+00  4.400697E-01  2.104756E+00
  1.421283E+00  2.130724E+01  4.140538E+05
  1.379309E+00  6.704118E+19  5.595111E+19
  2.006313E+00  5.311543E-01  2.075431E+00
  1.391266E+00  2.021302E+01  3.775593E+05
  1.409309E+00  6.575496E+19  5.484387E+19
  1.950987E+00  6.254109E-01  2.048778E+00
  1.358010E+00  1.892165E+01  3.378245E+05
  1.439309E+00  6.432189E+19  5.357495E+19
  1.891108E+00  7.210652E-01  2.023913E+00
  1.323920E+00  1.744511E+01  2.964614E+05
  1.469309E+00  6.277061E+19  5.216090E+19
  1.825482E+00  8.160547E-01  1.999582E+00
  1.292518E+00  1.580690E+01  2.551729E+05
  1.499309E+00  6.113235E+19  5.062505E+19
  1.753800E+00  9.080004E-01  1.974912E+00
  1.267352E+00  1.404348E+01  2.155562E+05
  1.529309E+00  5.943238E+19  4.899169E+19
  1.676500E+00  9.943842E-01  1.949219E+00
  1.250141E+00  1.220453E+01  1.789178E+05
  1.559309E+00  5.767059E+19  4.726991E+19
  1.594959E+00  1.072687E+00  1.922122E+00
  1.245903E+00  1.035194E+01  1.461458E+05
  1.589309E+00  5.577310E+19  4.541155E+19
  1.511687E+00  1.140555E+00  1.893690E+00
  1.261616E+00  8.557678E+00  1.176451E+05
  1.619309E+00  5.346793E+19  4.320332E+19
  1.430208E+00  1.196099E+00  1.864443E+00
  1.305811E+00  6.899664E+00  9.327694E+04
  1.649309E+00  4.997884E+19  4.000303E+19
  1.354719E+00  1.238415E+00  1.835465E+00
  1.395007E+00  5.452647E+00  7.214862E+04
  1.679309E+00  4.340975E+19  3.421263E+19
  1.289968E+00  1.268467E+00  1.809150E+00
  1.560615E+00  4.251004E+00  5.190357E+04
  1.709309E+00  3.026468E+19  2.290755E+19
  1.239884E+00  1.289850E+00  1.789141E+00
  1.867874E+00  3.071938E+00  2.745392E+04
  1.739309E+00  6.346134E+18  4.241224E+18
  1.207623E+00  1.308802E+00  1.780818E+00
  2.529465E+00  8.165555E-01  1.502700E+03
