 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  1.537045E+00  2.321591E+19  1.041865E+19
  8.002103E+00  1.212270E+00  8.093408E+00
  8.064641E+00  8.467580E-01  4.882230E+03
  1.587045E+00  5.324497E+19  2.681551E+19
  7.748917E+00  1.226651E+00  7.845405E+00
  6.594217E+00  1.809674E+00  2.507064E+04
  1.637045E+00  7.496356E+19  4.234094E+19
  7.511166E+00  1.220726E+00  7.609717E+00
  5.863034E+00  2.588040E+00  5.279791E+04
  1.687045E+00  9.163914E+19  5.604759E+19
  7.288073E+00  1.203366E+00  7.386751E+00
  5.338349E+00  3.173010E+00  8.180416E+04
  1.737045E+00  1.048319E+20  6.748302E+19
  7.078823E+00  1.178166E+00  7.176197E+00
  4.945382E+00  3.639819E+00  1.098417E+05
  1.787045E+00  1.151096E+20  7.662832E+19
  6.882141E+00  1.146549E+00  6.976994E+00
  4.631711E+00  4.063908E+00  1.368877E+05
  1.837045E+00  1.229276E+20  8.375062E+19
  6.696914E+00  1.109518E+00  6.788202E+00
  4.385092E+00  4.493187E+00  1.636661E+05
  1.887045E+00  1.287791E+20  8.924225E+19
  6.521947E+00  1.068117E+00  6.608832E+00
  4.187984E+00  4.951445E+00  1.909198E+05
  1.937045E+00  1.331414E+20  9.350246E+19
  6.356120E+00  1.023404E+00  6.437983E+00
  4.028677E+00  5.447586E+00  2.191961E+05
  1.987045E+00  1.364221E+20  9.687438E+19
  6.198443E+00  9.764841E-01  6.274888E+00
  3.899804E+00  5.982464E+00  2.488377E+05
  2.037045E+00  1.389409E+20  9.962598E+19
  6.048035E+00  9.284927E-01  6.118891E+00
  3.794458E+00  6.553060E+00  2.800361E+05
  2.087045E+00  1.409339E+20  1.019536E+20
  5.904182E+00  8.803583E-01  5.969455E+00
  3.705623E+00  7.154668E+00  3.128795E+05
  2.137045E+00  1.425686E+20  1.039945E+20
  5.766211E+00  8.328413E-01  5.826046E+00
  3.630042E+00  7.781985E+00  3.473842E+05
  2.187045E+00  1.439611E+20  1.058425E+20
  5.633490E+00  7.866484E-01  5.688148E+00
  3.566039E+00  8.429767E+00  3.835236E+05
  2.237045E+00  1.451907E+20  1.075600E+20
  5.505677E+00  7.422843E-01  5.555490E+00
  3.507426E+00  9.093262E+00  4.212531E+05
  2.287045E+00  1.463108E+20  1.091880E+20
