 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  2.096427E-01  3.106751E+18  2.053717E+18
  1.001713E+01  3.781881E+00  1.070727E+01
  4.459437E+00  3.621391E-01  3.197383E+02
  2.146427E-01  1.005850E+19  6.702654E+18
  9.783988E+00  3.769312E+00  1.048495E+01
  4.238533E+00  7.299831E-01  2.124629E+03
  2.196427E-01  1.686831E+19  1.140601E+19
  9.562440E+00  3.756838E+00  1.027395E+01
  4.048267E+00  1.097020E+00  5.396660E+03
  2.246427E-01  2.340605E+19  1.612414E+19
  9.350956E+00  3.743632E+00  1.007250E+01
  3.860849E+00  1.453277E+00  9.979498E+03
  2.296427E-01  2.962090E+19  2.081581E+19
  9.150299E+00  3.729187E+00  9.881033E+00
  3.701304E+00  1.790553E+00  1.563622E+04
  2.346427E-01  3.551186E+19  2.543889E+19
  8.958653E+00  3.712987E+00  9.697616E+00
  3.547217E+00  2.103196E+00  2.209697E+04
  2.396427E-01  4.109494E+19  2.995285E+19
  8.777141E+00  3.694652E+00  9.523059E+00
  3.413941E+00  2.388477E+00  2.909589E+04
  2.446427E-01  4.638274E+19  3.431983E+19
  8.603876E+00  3.673811E+00  9.355404E+00
  3.287246E+00  2.646353E+00  3.639433E+04
  2.496427E-01  5.137922E+19  3.850660E+19
  8.439950E+00  3.650220E+00  9.195480E+00
  3.175911E+00  2.878937E+00  4.379573E+04
  2.546427E-01  5.608125E+19  4.248545E+19
  8.283725E+00  3.623649E+00  9.041622E+00
  3.071972E+00  3.089759E+00  5.115147E+04
  2.596427E-01  6.048285E+19  4.623519E+19
  8.135899E+00  3.593968E+00  8.894349E+00
  2.979323E+00  3.283082E+00  5.836043E+04
  2.646427E-01  6.457880E+19  4.974138E+19
  7.995363E+00  3.561080E+00  8.752549E+00
  2.894706E+00  3.463333E+00  6.536342E+04
  2.696427E-01  6.836711E+19  5.299633E+19
  7.862157E+00  3.524954E+00  8.616195E+00
  2.818066E+00  3.634714E+00  7.213515E+04
  2.746427E-01  7.185030E+19  5.599860E+19
  7.735896E+00  3.485608E+00  8.484901E+00
  2.749745E+00  3.800963E+00  7.867568E+04
  2.796427E-01  7.503563E+19  5.875230E+19
  7.615827E+00  3.443099E+00  8.357975E+00
  2.686900E+00  3.965252E+00  8.500234E+04
  2.846427E-01  7.793481E+19  6.126616E+19
  7.502353E+00  3.397539E+00  8.235810E+00
  2.632509E+00  4.130166E+00  9.114329E+04
  2.896427E-01  8.056318E+19  6.355253E+19
  7.393919E+00  3.349057E+00  8.117033E+00
  2.581555E+00  4.297741E+00  9.713249E+04
  2.946427E-01  8.293877E+19  6.562636E+19
  7.291698E+00  3.297841E+00  8.002788E+00
  2.539021E+00  4.469517E+00  1.030060E+05
  2.996427E-01  8.508147E+19  6.750427E+19
  7.193439E+00  3.244071E+00  7.891106E+00
  2.498337E+00  4.646621E+00  1.087998E+05
  3.046427E-01  8.701198E+19  6.920371E+19
  7.100924E+00  3.187990E+00  7.783727E+00
  2.465938E+00  4.829825E+00  1.145477E+05
  3.096427E-01  8.875120E+19  7.074232E+19
  7.011433E+00  3.129813E+00  7.678276E+00
  2.434124E+00  5.019627E+00  1.202814E+05
  3.146427E-01  9.031948E+19  7.213728E+19
  6.927123E+00  3.069816E+00  7.576860E+00
  2.410242E+00  5.216285E+00  1.260289E+05
  3.196427E-01  9.173633E+19  7.340508E+19
  6.845243E+00  3.008253E+00  7.477094E+00
  2.386453E+00  5.419894E+00  1.318155E+05
  3.246427E-01  9.301991E+19  7.456104E+19
  6.767570E+00  2.945389E+00  7.380739E+00
  2.369227E+00  5.630390E+00  1.376631E+05
  3.296427E-01  9.418704E+19  7.561934E+19
  6.692127E+00  2.881504E+00  7.286126E+00
  2.352587E+00  5.847622E+00  1.435906E+05
  3.346427E-01  9.525290E+19  7.659274E+19
  6.619797E+00  2.816838E+00  7.194185E+00
  2.340527E+00  6.071340E+00  1.496142E+05
  3.396427E-01  9.623116E+19  7.749276E+19
  6.549582E+00  2.751663E+00  7.104131E+00
  2.329759E+00  6.301247E+00  1.557477E+05
  3.446427E-01  9.713395E+19  7.832954E+19
  6.481646E+00  2.686198E+00  7.016223E+00
  2.321998E+00  6.536995E+00  1.620025E+05
  3.496427E-01  9.797195E+19  7.911202E+19
  6.415627E+00  2.620695E+00  6.930246E+00
  2.315985E+00  6.778210E+00  1.683881E+05
  3.546427E-01  9.875449E+19  7.984800E+19
  6.351288E+00  2.555346E+00  6.846068E+00
  2.311714E+00  7.024498E+00  1.749122E+05
  3.596427E-01  9.948968E+19  8.054419E+19
  6.288581E+00  2.490372E+00  6.763741E+00
  2.309400E+00  7.275455E+00  1.815810E+05
  3.646427E-01  1.001845E+20  8.120642E+19
  6.227201E+00  2.425935E+00  6.683053E+00
  2.307919E+00  7.530679E+00  1.883995E+05
  3.696427E-01  1.008450E+20  8.183962E+19
  6.167109E+00  2.362221E+00  6.604038E+00
  2.308468E+00  7.789762E+00  1.953715E+05
  3.746427E-01  1.014764E+20  8.244806E+19
  6.108192E+00  2.299362E+00  6.526644E+00
  2.309188E+00  8.052317E+00  2.024999E+05
  3.796427E-01  1.020829E+20  8.303529E+19
  6.050171E+00  2.237503E+00  6.450658E+00
  2.311707E+00  8.317953E+00  2.097867E+05
  3.846427E-01  1.026684E+20  8.360438E+19
  5.993266E+00  2.176768E+00  6.376328E+00
  2.314191E+00  8.586312E+00  2.172334E+05
  3.896427E-01  1.032360E+20  8.415786E+19
  5.936986E+00  2.117244E+00  6.303216E+00
  2.317807E+00  8.857035E+00  2.248407E+05
  3.946427E-01  1.037883E+20  8.469789E+19
  5.881694E+00  2.059030E+00  6.231688E+00
  2.321529E+00  9.129798E+00  2.326093E+05
  3.996427E-01  1.043277E+20  8.522628E+19
  5.826982E+00  2.002173E+00  6.161365E+00
  2.325580E+00  9.404282E+00  2.405392E+05
  4.046427E-01  1.048561E+20  8.574453E+19
  5.773037E+00  1.946738E+00  6.092434E+00
  2.329771E+00  9.680194E+00  2.486303E+05
  4.096427E-01  1.053751E+20  8.625390E+19
  5.719757E+00  1.892749E+00  6.024792E+00
  2.333904E+00  9.957260E+00  2.568822E+05
  4.146427E-01  1.058859E+20  8.675543E+19
  5.666982E+00  1.840241E+00  5.958286E+00
  2.337982E+00  1.023522E+01  2.652942E+05
  4.196427E-01  1.063898E+20  8.725001E+19
  5.615038E+00  1.789219E+00  5.893213E+00
  2.341911E+00  1.051384E+01  2.738658E+05
  4.246427E-01  1.068877E+20  8.773834E+19
  5.563322E+00  1.739694E+00  5.828986E+00
  2.345341E+00  1.079290E+01  2.825960E+05
  4.296427E-01  1.073805E+20  8.822103E+19
  5.512543E+00  1.691663E+00  5.766269E+00
  2.348715E+00  1.107220E+01  2.914842E+05
  4.346427E-01  1.078686E+20  8.869857E+19
  5.461931E+00  1.645108E+00  5.704303E+00
  2.351118E+00  1.135154E+01  3.005294E+05
  4.396427E-01  1.083529E+20  8.917139E+19
  5.412133E+00  1.600019E+00  5.643690E+00
  2.353364E+00  1.163077E+01  3.097307E+05
  4.446427E-01  1.088336E+20  8.963980E+19
  5.362733E+00  1.556356E+00  5.584008E+00
  2.354810E+00  1.190972E+01  3.190872E+05
  4.496427E-01  1.093113E+20  9.010410E+19
  5.313886E+00  1.514095E+00  5.525384E+00
  2.355719E+00  1.218825E+01  3.285979E+05
  4.546427E-01  1.097862E+20  9.056451E+19
  5.265686E+00  1.473193E+00  5.467883E+00
  2.356088E+00  1.246622E+01  3.382618E+05
  4.596427E-01  1.102586E+20  9.102120E+19
  5.217782E+00  1.433611E+00  5.411145E+00
  2.355186E+00  1.274351E+01  3.480778E+05
  4.646427E-01  1.107287E+20  9.147434E+19
  5.170743E+00  1.395304E+00  5.355694E+00
  2.354298E+00  1.302001E+01  3.580448E+05
  4.696427E-01  1.111968E+20  9.192403E+19
  5.123811E+00  1.358226E+00  5.300775E+00
  2.351654E+00  1.329562E+01  3.681616E+05
  4.746427E-01  1.116630E+20  9.237036E+19
  5.077702E+00  1.322333E+00  5.247058E+00
  2.348995E+00  1.357022E+01  3.784268E+05
  4.796427E-01  1.121273E+20  9.281340E+19
  5.031962E+00  1.287571E+00  5.194081E+00
  2.345027E+00  1.384374E+01  3.888391E+05
  4.846427E-01  1.125900E+20  9.325319E+19
  4.986787E+00  1.253891E+00  5.142013E+00
  2.340353E+00  1.411608E+01  3.993967E+05
  4.896427E-01  1.130509E+20  9.368976E+19
  4.942228E+00  1.221242E+00  5.090879E+00
  2.335212E+00  1.438715E+01  4.100980E+05
  4.946427E-01  1.135103E+20  9.412313E+19
  4.897995E+00  1.189572E+00  5.040380E+00
  2.328798E+00  1.465687E+01  4.209408E+05
  4.996427E-01  1.139681E+20  9.455328E+19
  4.854549E+00  1.158830E+00  4.990945E+00
  2.322487E+00  1.492517E+01  4.319230E+05
  5.046427E-01  1.144244E+20  9.498020E+19
  4.811308E+00  1.128966E+00  4.941988E+00
  2.314465E+00  1.519195E+01  4.430420E+05
  5.096427E-01  1.148790E+20  9.540386E+19
  4.768788E+00  1.099933E+00  4.893996E+00
  2.306409E+00  1.545715E+01  4.542949E+05
  5.146427E-01  1.153320E+20  9.582422E+19
  4.726704E+00  1.071680E+00  4.846672E+00
  2.297490E+00  1.572067E+01  4.656785E+05
  5.196427E-01  1.157834E+20  9.624121E+19
  4.685110E+00  1.044162E+00  4.800055E+00
  2.287883E+00  1.598245E+01  4.771893E+05
  5.246427E-01  1.162330E+20  9.665478E+19
  4.644156E+00  1.017329E+00  4.754277E+00
  2.278183E+00  1.624239E+01  4.888232E+05
  5.296427E-01  1.166808E+20  9.706484E+19
  4.603483E+00  9.911411E-01  4.708972E+00
  2.267249E+00  1.650040E+01  5.005756E+05
  5.346427E-01  1.171266E+20  9.747131E+19
  4.563517E+00  9.655533E-01  4.664545E+00
  2.256497E+00  1.675641E+01  5.124418E+05
  5.396427E-01  1.175705E+20  9.787409E+19
  4.523870E+00  9.405247E-01  4.620605E+00
  2.244954E+00  1.701031E+01  5.244160E+05
  5.446427E-01  1.180121E+20  9.827306E+19
  4.484796E+00  9.160176E-01  4.577388E+00
  2.233291E+00  1.726202E+01  5.364923E+05
  5.496427E-01  1.184515E+20  9.866812E+19
  4.446229E+00  8.919912E-01  4.534821E+00
  2.221439E+00  1.751144E+01  5.486641E+05
  5.546427E-01  1.188884E+20  9.905912E+19
  4.408035E+00  8.684123E-01  4.492763E+00
  2.209059E+00  1.775846E+01  5.609240E+05
  5.596427E-01  1.193226E+20  9.944594E+19
  4.370491E+00  8.452429E-01  4.451475E+00
  2.196899E+00  1.800298E+01  5.732641E+05
  5.646427E-01  1.197540E+20  9.982841E+19
  4.333188E+00  8.224536E-01  4.410550E+00
  2.184143E+00  1.824488E+01  5.856757E+05
  5.696427E-01  1.201824E+20  1.002064E+20
  4.296492E+00  8.000163E-01  4.370339E+00
  2.171559E+00  1.848405E+01  5.981497E+05
  5.746427E-01  1.206074E+20  1.005797E+20
  4.260205E+00  7.778979E-01  4.330643E+00
  2.158879E+00  1.872038E+01  6.106760E+05
  5.796427E-01  1.210290E+20  1.009482E+20
  4.224342E+00  7.560747E-01  4.291470E+00
  2.146122E+00  1.895374E+01  6.232437E+05
  5.846427E-01  1.214468E+20  1.013117E+20
  4.189038E+00  7.345152E-01  4.252946E+00
  2.133578E+00  1.918401E+01  6.358415E+05
  5.896427E-01  1.218606E+20  1.016699E+20
  4.153992E+00  7.132005E-01  4.214772E+00
  2.120827E+00  1.941105E+01  6.484568E+05
  5.946427E-01  1.222700E+20  1.020228E+20
  4.119525E+00  6.921097E-01  4.177260E+00
  2.108343E+00  1.963472E+01  6.610768E+05
  5.996427E-01  1.226749E+20  1.023700E+20
  4.085395E+00  6.712188E-01  4.140168E+00
  2.095893E+00  1.985490E+01  6.736874E+05
  6.046427E-01  1.230748E+20  1.027114E+20
  4.051716E+00  6.505130E-01  4.103604E+00
  2.083596E+00  2.007143E+01  6.862742E+05
  6.096427E-01  1.234694E+20  1.030467E+20
  4.018507E+00  6.299671E-01  4.067586E+00
  2.071512E+00  2.028418E+01  6.988218E+05
  6.146427E-01  1.238585E+20  1.033758E+20
  3.985602E+00  6.095703E-01  4.031947E+00
  2.059472E+00  2.049299E+01  7.113138E+05
  6.196427E-01  1.242416E+20  1.036983E+20
  3.953232E+00  5.893045E-01  3.996914E+00
  2.047732E+00  2.069770E+01  7.237334E+05
  6.246427E-01  1.246184E+20  1.040142E+20
  3.921145E+00  5.691560E-01  3.962236E+00
  2.035923E+00  2.089817E+01  7.360628E+05
  6.296427E-01  1.249885E+20  1.043230E+20
  3.889527E+00  5.491169E-01  3.928097E+00
  2.024338E+00  2.109424E+01  7.482837E+05
  6.346427E-01  1.253515E+20  1.046246E+20
  3.858310E+00  5.291673E-01  3.894428E+00
  2.012964E+00  2.128574E+01  7.603771E+05
  6.396427E-01  1.257071E+20  1.049187E+20
  3.827436E+00  5.093018E-01  3.861173E+00
  2.001738E+00  2.147251E+01  7.723229E+05
  6.446427E-01  1.260548E+20  1.052050E+20
  3.797063E+00  4.895023E-01  3.828486E+00
  1.990856E+00  2.165440E+01  7.841011E+05
  6.496427E-01  1.263942E+20  1.054834E+20
  3.766935E+00  4.697651E-01  3.796114E+00
  1.979194E+00  2.183121E+01  7.956901E+05
  6.546427E-01  1.267249E+20  1.057535E+20
  3.737294E+00  4.500874E-01  3.764299E+00
  1.967885E+00  2.200280E+01  8.070688E+05
  6.596427E-01  1.270464E+20  1.060151E+20
  3.708010E+00  4.304204E-01  3.732908E+00
  1.956517E+00  2.216899E+01  8.182151E+05
  6.646427E-01  1.273583E+20  1.062678E+20
  3.679117E+00  4.107077E-01  3.701971E+00
  1.945230E+00  2.232959E+01  8.291047E+05
  6.696427E-01  1.276600E+20  1.065114E+20
  3.650662E+00  3.909119E-01  3.671532E+00
  1.934351E+00  2.248438E+01  8.397119E+05
  6.746427E-01  1.279510E+20  1.067455E+20
  3.622537E+00  3.710202E-01  3.641488E+00
  1.923748E+00  2.263313E+01  8.500099E+05
  6.796427E-01  1.282308E+20  1.069697E+20
  3.594874E+00  3.510177E-01  3.611971E+00
  1.913624E+00  2.277564E+01  8.599714E+05
  6.846427E-01  1.284987E+20  1.071837E+20
  3.567551E+00  3.308885E-01  3.582863E+00
  1.904456E+00  2.291165E+01  8.695682E+05
  6.896427E-01  1.287542E+20  1.073871E+20
  3.540656E+00  3.106204E-01  3.554255E+00
